x,y,z
0.25748,-5.224305,5.155779
0,-5.171863,5.136969
0,-5.64774,5.323279
-0.25748,-5.224305,5.155779
0,-4.763773,4.983201
0.522777,-4.815567,4.993871
0.230612,-4.766413,4.982466
-0.230612,-4.766413,4.982466
-0.522777,-4.815567,4.993871
0,-4.367915,4.841206
0.242079,-4.368983,4.839436
-0.242079,-4.368983,4.839436
0,-3.987483,4.712806
0.796851,-4.420374,4.836733
0.489031,-4.371325,4.833658
0.249456,-3.987976,4.71051
0.502197,-3.988952,4.703331
-0.489031,-4.371325,4.833658
-0.796851,-4.420374,4.836733
-0.249456,-3.987976,4.71051
0,-3.622175,4.597932
0.254896,-3.622345,4.59529
-0.502197,-3.988952,4.703331
-0.254896,-3.622345,4.59529
0,-3.271006,4.496001
1.07991,-4.037908,4.683605
0.76087,-3.990057,4.690787
0.512324,-3.622463,4.587132
0.259194,-3.270969,4.493113
0.774512,-3.622295,4.573077
0.52049,-3.270502,4.484254
-0.76087,-3.990057,4.690787
-1.07991,-4.037908,4.683605
-0.512324,-3.622463,4.587132
-0.259194,-3.270969,4.493113
0,-2.932816,4.406254
0.262698,-2.932641,4.403189
-0.774512,-3.622295,4.573077
-0.52049,-3.270502,4.484254
-0.262698,-2.932641,4.403189
2.87E-10,-2.60639,4.32788
1.372022,-3.667445,4.53372
1.043277,-3.621464,4.5525
0.785834,-3.269476,4.469109
0.527227,-2.931773,4.393823
0.265589,-2.606126,4.324688
1.05693,-3.267573,4.447135
0.79533,-2.93015,4.37789
0.532827,-2.604997,4.314961
-1.043277,-3.621464,4.5525
-1.372022,-3.667445,4.53372
-0.785834,-3.269476,4.469109
-0.527227,-2.931773,4.393823
-0.26559,-2.606126,4.324688
1.47E-10,-2.290507,4.260081
0.267982,-2.290192,4.256801
-1.05693,-3.267572,4.447135
-0.79533,-2.93015,4.37789
-0.532827,-2.604998,4.314961
-0.267982,-2.290192,4.256801
0,-1.983951,4.20211
1.673245,-3.308348,4.386329
1.33521,-3.264479,4.417626
1.068605,-2.927536,4.354918
0.803304,-2.602982,4.298467
0.537478,-2.288911,4.246822
0.26995,-1.983615,4.198767
1.348483,-2.923645,4.324268
1.078526,-2.599902,4.274787
0.809967,-2.286675,4.229939
0.541311,-1.982278,4.188619
-1.33521,-3.264479,4.417626
-1.673245,-3.308348,4.386329
-1.068605,-2.927536,4.354918
-0.803304,-2.602982,4.298467
-0.537477,-2.288911,4.246822
-0.26995,-1.983615,4.198767
0,-1.685522,4.153284
0.27155,-1.685194,4.149901
-1.348483,-2.923645,4.324268
-1.078526,-2.599903,4.274787
-0.809967,-2.286675,4.229939
-0.541311,-1.982278,4.188619
-0.27155,-1.685194,4.149901
0,-1.394033,4.113002
1.98368,-2.960059,4.240694
1.636214,-2.918228,4.285167
1.359895,-2.595534,4.243353
1.086876,-2.283341,4.205777
0.815479,-1.979969,4.171477
0.544434,-1.683883,4.139644
0.27283,-1.393735,4.109593
1.648703,-2.589638,4.203451
1.369568,-2.278731,4.173821
1.093813,-1.976571,4.147005
0.819978,-1.68163,4.122342
0.546933,-1.392523,4.099272
-1.636214,-2.918228,4.285167
-1.98368,-2.960059,4.240694
-1.359895,-2.595534,4.243353
-1.086876,-2.283341,4.205777
-0.81548,-1.979969,4.171477
-0.544434,-1.683882,4.139644
-0.27283,-1.393735,4.109593
0,-1.108309,4.080751
0.273826,-1.108066,4.077328
-1.648703,-2.589638,4.203451
-1.369568,-2.278731,4.173821
-1.093813,-1.976571,4.147005
-0.819978,-1.68163,4.122342
-0.546933,-1.392523,4.099272
-0.273826,-1.108066,4.077328
0,-0.827187,4.056108
2.303479,-2.622102,4.096094
1.946131,-2.582031,4.154243
1.659335,-2.272648,4.133422
1.377632,-1.971938,4.114728
1.099482,-1.678342,4.097683
0.823578,-1.390446,4.08188
0.548878,-1.107013,4.066972
0.274569,-0.827015,4.052676
1.95742,-2.264902,4.083796
1.668218,-1.965905,4.074054
1.38423,-1.673896,4.065237
1.10402,-1.387428,4.057127
0.82638,-1.105215,4.049536
0.550329,-0.826176,4.042305
-1.946131,-2.582031,4.154243
-2.303479,-2.622102,4.096094
-1.659335,-2.272648,4.133422
-1.377631,-1.971938,4.114728
-1.099482,-1.678342,4.097683
-0.823578,-1.390446,4.08188
-0.548878,-1.107013,4.066972
-0.274569,-0.827015,4.052676
0,-0.549512,4.038743
0.275083,-0.549424,4.035306
-1.95742,-2.264902,4.083796
-1.668218,-1.965905,4.074054
-1.38423,-1.673896,4.065237
-1.10402,-1.387428,4.057127
-0.82638,-1.105215,4.049536
-0.550329,-0.826176,4.042305
-0.275083,-0.549424,4.035306
0,-0.27413,4.028419
2.632865,-2.294085,3.951817
2.264992,-2.255373,4.024054
1.966821,-1.958306,4.024259
1.675482,-1.668148,4.024451
1.389509,-1.383364,4.024613
1.107551,-1.10261,4.024748
0.828469,-0.824746,4.024855
0.551331,-0.548841,4.024932
0.275384,-0.274137,4.024979
2.274676,-1.948991,3.964501
1.974481,-1.660949,3.974654
1.681276,-1.378132,3.983825
1.393605,-1.09911,3.992234
1.110178,-0.822675,4.000066
0.829912,-0.547847,4.007479
0.551919,-0.273837,4.014605
-2.264992,-2.255373,4.024054
-2.632865,-2.294085,3.951817
-1.966821,-1.958306,4.024259
-1.675482,-1.668148,4.024451
-1.389509,-1.383364,4.024613
-1.107551,-1.10261,4.024748
-0.828469,-0.824746,4.024855
-0.551331,-0.548841,4.024932
-0.275384,-0.274137,4.024979
0,0,4.024995
0.275588,0,4.021549
-2.274676,-1.948991,3.964501
-1.974481,-1.660949,3.974654
-1.681276,-1.378132,3.983825
-1.393605,-1.09911,3.992234
-1.110178,-0.822675,4.000066
-0.829912,-0.547847,4.007479
-0.551919,-0.273837,4.014605
-0.275588,0,4.021549
2.972134,-1.97569,3.807159
2.592986,-1.937889,3.893833
2.282473,-1.652154,3.915064
1.980556,-1.371596,3.934139
1.685755,-1.094613,3.95151
1.396646,-0.819898,3.967585
1.11199,-0.546409,3.982705
0.830757,-0.273328,3.997156
0.552217,0,4.011172
2.600715,-1.641645,3.844785
2.288587,-1.363616,3.874823
1.985217,-1.089,3.901994
1.689065,-0.816332,3.926955
1.398739,-0.544482,3.950266
1.11305,-0.272592,3.972395
0.831138,0,3.993723
-2.592986,-1.937889,3.893833
-2.972134,-1.97569,3.807159
-2.282473,-1.652154,3.915064
-1.980556,-1.371596,3.934139
-1.685755,-1.094613,3.95151
-1.396646,-0.819898,3.967585
-1.11199,-0.546409,3.982705
-0.830757,-0.273328,3.997156
-0.552217,0,4.011172
-2.600715,-1.641645,3.844785
-2.288587,-1.363616,3.874823
-1.985217,-1.089,3.901994
-1.689065,-0.816332,3.926955
-1.398739,-0.544482,3.950266
-1.11305,-0.272592,3.972395
-0.831138,0,3.993723
0.275384,0.274137,4.024979
0.551919,0.273837,4.014605
0.830757,0.273328,3.997156
-0.275384,0.274137,4.024979
0,0.27413,4.028419
-0.551919,0.273837,4.014605
-0.830757,0.273328,3.997156
3.321659,-1.666673,3.661412
2.930459,-1.629368,3.76282
2.606624,-1.354056,3.80504
2.293216,-1.082137,3.842997
1.988634,-0.81188,3.877621
1.691332,-0.542008,3.909726
1.399961,-0.271605,3.93999
1.113503,0,3.968966
1.11305,0.272592,3.972395
2.935967,-1.342795,3.723847
2.610998,-1.073886,3.773734
2.296561,-0.806426,3.818936
1.990954,-0.538917,3.860552
1.692651,-0.270338,3.899513
1.400465,0,3.936571
1.399961,0.271605,3.93999
-2.930459,-1.629368,3.76282
-3.321659,-1.666673,3.661412
-2.606624,-1.354056,3.80504
-2.293216,-1.082137,3.842997
-1.988634,-0.81188,3.877621
-1.691332,-0.542008,3.909726
-1.399961,-0.271605,3.93999
-1.113503,1.50E-09,3.968966
-1.11305,0.272592,3.972395
-2.935967,-1.342795,3.723847
-2.610997,-1.073885,3.773734
-2.296561,-0.806426,3.818936
-1.990954,-0.538917,3.860552
-1.692651,-0.270338,3.899513
-1.400465,3.34E-09,3.936571
-1.39996,0.271605,3.93999
0.551331,0.548841,4.024932
0.829912,0.547847,4.007479
0.275083,0.549424,4.035306
1.11199,0.546409,3.982705
1.398739,0.544482,3.950266
-0.275083,0.549424,4.035306
1.19E-08,0.549512,4.038743
-0.551331,0.548841,4.024932
-0.829911,0.547847,4.007479
-1.11199,0.546409,3.982705
-1.398739,0.544482,3.950266
3.681901,-1.36685,3.513861
3.277911,-1.329751,3.630219
2.939837,-1.06409,3.693326
2.614076,-0.79984,3.750154
2.298802,-0.535124,3.802122
1.992297,-0.268754,3.850446
1.693187,0,3.896113
1.692651,0.270338,3.899513
1.691332,0.542008,3.909726
3.281064,-1.052586,3.600807
2.942432,-0.791967,3.670452
2.616086,-0.530528,3.733728
2.300084,-0.266808,3.792185
1.992838,0,3.847082
1.992297,0.268754,3.850446
1.990954,0.538917,3.860552
-3.277911,-1.329751,3.630219
-3.681901,-1.36685,3.513861
-2.939837,-1.06409,3.693326
-2.614076,-0.79984,3.750154
-2.298802,-0.535124,3.802123
-1.992297,-0.268754,3.850446
-1.693187,0,3.896113
-1.692651,0.270338,3.899513
-1.691332,0.542008,3.909726
-3.281064,-1.052586,3.600807
-2.942432,-0.791967,3.670452
-2.616086,-0.530528,3.733728
-2.300084,-0.266808,3.792185
-1.992838,0,3.847082
-1.992297,0.268754,3.850446
-1.990954,0.538917,3.860552
0.828469,0.824746,4.024855
1.110178,0.822675,4.000066
0.550329,0.826176,4.042305
0.274569,0.827015,4.052676
1.396646,0.819898,3.967585
1.689065,0.816332,3.926955
1.988634,0.81188,3.877621
-0.274569,0.827015,4.052676
-0.550328,0.826177,4.042305
2.37E-08,0.827187,4.056108
-0.828469,0.824746,4.024855
-1.110178,0.822675,4.000066
-1.396646,0.819898,3.967585
-1.689065,0.816332,3.926955
-1.988634,0.81188,3.877621
4.053401,-1.076092,3.363778
3.63601,-1.039172,3.495156
3.282922,-0.782603,3.578934
2.944041,-0.524998,3.654588
2.617213,-0.264445,3.724043
2.3006,0,3.788877
2.300084,0.266808,3.792185
2.298802,0.535124,3.802123
2.296561,0.806426,3.818936
3.636875,-0.771458,3.474647
3.283916,-0.518352,3.563858
2.944898,-0.261589,3.645263
2.617674,0,3.72082
2.617213,0.264445,3.724043
2.616087,0.530528,3.733728
2.614076,0.79984,3.750154
-3.63601,-1.039172,3.495156
-4.053401,-1.076092,3.363778
-3.282922,-0.782603,3.578934
-2.944041,-0.524998,3.654588
-2.617213,-0.264445,3.724043
-2.300601,0,3.788877
-2.300084,0.266808,3.792185
-2.298802,0.535124,3.802123
-2.296561,0.806426,3.818936
-3.636875,-0.771458,3.474647
-3.283916,-0.518352,3.563858
-2.944898,-0.261589,3.645263
-2.617674,0,3.72082
-2.617213,0.264445,3.724043
-2.616087,0.530528,3.733728
-2.614076,0.799841,3.750154
1.107551,1.10261,4.024748
1.393605,1.09911,3.992234
0.82638,1.105215,4.049535
0.548878,1.107014,4.066972
0.273826,1.108066,4.077328
1.685755,1.094613,3.95151
1.985217,1.089,3.901994
2.293216,1.082137,3.842997
2.610997,1.073884,3.773734
-0.548878,1.107014,4.066972
-0.82638,1.105215,4.049536
-0.273826,1.108066,4.077328
0,1.108309,4.080751
-1.10755,1.10261,4.024748
-1.393605,1.09911,3.992234
-1.685755,1.094613,3.95151
-1.985217,1.089,3.901994
-2.293216,1.082137,3.842997
-2.610997,1.073885,3.773734
4.436787,-0.7943,3.210424
4.005611,-0.758048,3.356644
3.636983,-0.510304,3.460664
3.284363,-0.258132,3.55504
2.945261,0,3.642164
2.944898,0.261589,3.645263
2.944041,0.524998,3.654588
2.942432,0.791967,3.670452
2.939837,1.06409,3.693326
4.004529,-0.500338,3.344141
3.636832,-0.253897,3.452549
3.284579,0,3.552114
3.284363,0.258132,3.55504
3.283916,0.518352,3.563858
3.282922,0.782603,3.578934
3.281064,1.052587,3.600807
-4.005611,-0.758048,3.356645
-4.436787,-0.7943,3.210424
-3.636983,-0.510303,3.460664
-3.284363,-0.258132,3.55504
-2.945261,0,3.642164
-2.944898,0.261589,3.645263
-2.944041,0.524998,3.654588
-2.942432,0.791967,3.670452
-2.939837,1.06409,3.693326
-4.004529,-0.500337,3.344141
-3.636832,-0.253897,3.452549
-3.284579,0,3.552114
-3.284363,0.258132,3.55504
-3.283916,0.518352,3.563858
-3.282922,0.782603,3.578934
-3.281064,1.052587,3.600807
1.389509,1.383364,4.024613
1.681276,1.378133,3.983825
1.10402,1.387428,4.057127
0.823578,1.390446,4.08188
0.546933,1.392523,4.099272
0.27283,1.393736,4.109593
1.980556,1.371597,3.934139
2.288587,1.363616,3.874823
2.606624,1.354056,3.80504
2.935966,1.342795,3.723847
3.277911,1.329751,3.630219
-0.823578,1.390446,4.08188
-1.10402,1.387428,4.057127
-0.546933,1.392523,4.099272
-0.27283,1.393736,4.109593
0,1.394032,4.113002
-1.389509,1.383364,4.024613
-1.681276,1.378133,3.983825
-1.980556,1.371597,3.934139
-2.288587,1.363616,3.874823
-2.606624,1.354056,3.80504
-2.935966,1.342795,3.723847
-3.277911,1.329751,3.630219
4.832767,-0.521356,3.053054
4.38778,-0.487378,3.213524
4.003497,-0.248536,3.337006
3.636826,0,3.449867
3.636832,0.253897,3.452549
3.636983,0.510304,3.460664
3.636874,0.771458,3.474648
3.636009,1.039172,3.495156
3.681901,1.36685,3.513861
3.321659,1.666673,3.661412
2.930459,1.629368,3.76282
2.600715,1.641645,3.844785
2.282473,1.652155,3.915065
1.974481,1.660949,3.974654
1.675482,1.668149,4.024451
1.38423,1.673896,4.065237
1.099482,1.678342,4.097683
0.819978,1.681631,4.122342
0.544434,1.683883,4.139644
0.27155,1.685194,4.1499
4.385462,-0.241275,3.207761
4.003152,0,3.334671
4.003497,0.248536,3.337006
4.004529,0.500337,3.344141
4.005611,0.758048,3.356645
4.053401,1.076092,3.363778
2.972134,1.97569,3.807159
2.592986,1.937889,3.893833
2.274676,1.948991,3.964501
1.966821,1.958306,4.024259
1.668218,1.965906,4.074055
1.377631,1.971939,4.114729
1.093813,1.976572,4.147005
0.81548,1.97997,4.171477
0.541311,1.982278,4.188619
4.436787,0.7943,3.210424
4.38778,0.487378,3.213524
4.385462,0.241275,3.207761
4.384513,0,3.205957
4.783649,-0.229955,3.064463
5.242137,-0.256981,2.890929
2.632865,2.294085,3.951817
2.264992,2.255373,4.024053
1.95742,2.264903,4.083796
1.659335,2.272648,4.133422
1.369567,2.278731,4.173821
1.086876,2.283342,4.205777
0.809967,2.286675,4.229939
4.832767,0.521356,3.053054
4.783649,0.229955,3.064463
4.781183,-4.44E-09,3.063668
2.303479,2.622102,4.096094
1.946131,2.582031,4.154243
1.648703,2.589638,4.203451
1.359895,2.595534,4.243353
1.078526,2.599902,4.274787
5.242138,0.256981,2.890929
5.189791,-1.36E-08,2.909705
5.665969,-1.38E-08,2.723279
1.98368,2.960059,4.240694
1.636214,2.918228,4.285168
1.348482,2.923645,4.324268
1.673245,3.308348,4.386329
-4.38778,-0.487378,3.213524
-4.832767,-0.521356,3.053054
-4.003497,-0.248536,3.337006
-3.636826,0,3.449867
-3.636832,0.253897,3.452549
-3.636983,0.510304,3.460664
-3.636875,0.771458,3.474647
-3.63601,1.039172,3.495156
-3.681901,1.36685,3.513861
-3.321659,1.666673,3.661412
-2.930459,1.629368,3.76282
-2.600715,1.641645,3.844785
-2.282473,1.652155,3.915064
-1.974481,1.660949,3.974654
-1.675482,1.668149,4.024451
-1.38423,1.673896,4.065237
-1.099482,1.678343,4.097683
-0.819978,1.681631,4.122342
-0.544434,1.683883,4.139644
-0.27155,1.685194,4.1499
0,1.685522,4.153284
0.26995,1.983615,4.198767
0.537477,2.288911,4.246822
0.803304,2.602981,4.298467
1.068605,2.927537,4.354918
1.33521,3.264479,4.417626
1.372022,3.667445,4.53372
-4.385462,-0.241275,3.207761
-4.003152,0,3.334671
-4.003497,0.248536,3.337006
-4.004529,0.500338,3.344141
-4.005611,0.758048,3.356644
-4.053401,1.076092,3.363778
-2.972134,1.97569,3.807159
-2.592986,1.937889,3.893834
-2.274676,1.948991,3.964501
-1.966821,1.958306,4.024259
-1.668218,1.965906,4.074054
-1.377631,1.971939,4.114729
-1.093813,1.976572,4.147005
-0.81548,1.97997,4.171477
-0.541311,1.982278,4.188619
-0.26995,1.983615,4.198767
0,1.983952,4.20211
0.267982,2.290192,4.2568
0.532827,2.604998,4.314961
0.795329,2.93015,4.37789
1.05693,3.267572,4.447135
-4.436787,0.7943,3.210424
-4.38778,0.487378,3.213524
-4.385462,0.241275,3.207761
-4.384513,0,3.205957
-4.783649,-0.229955,3.064463
-5.242138,-0.256981,2.890929
-2.632864,2.294086,3.951818
-2.264992,2.255373,4.024053
-1.95742,2.264903,4.083796
-1.659335,2.272648,4.133422
-1.369567,2.278731,4.173821
-1.086876,2.283342,4.205777
-0.809967,2.286675,4.229939
-0.537477,2.288911,4.246822
-0.267982,2.290192,4.2568
0,2.290508,4.260081
0.26559,2.606126,4.324688
0.527227,2.931773,4.393823
0.785834,3.269476,4.469109
1.043277,3.621466,4.5525
1.07991,4.037908,4.683605
-4.832767,0.521356,3.053054
-4.783649,0.229955,3.064463
-4.781183,4.44E-09,3.063668
-2.303479,2.622102,4.096094
-1.946131,2.582031,4.154243
-1.648703,2.589638,4.203451
-1.359895,2.595534,4.243353
-1.078526,2.599902,4.274787
-0.803303,2.602981,4.298467
-0.532827,2.604998,4.314961
-0.26559,2.606126,4.324688
0,2.60639,4.32788
0.262698,2.932641,4.403189
0.52049,3.270502,4.484254
0.774512,3.622295,4.573076
-5.242137,0.256981,2.890929
-5.189791,1.36E-08,2.909705
-5.665969,1.38E-08,2.723279
-1.98368,2.960059,4.240694
-1.636214,2.918228,4.285167
-1.348482,2.923645,4.324268
-1.068605,2.927537,4.354918
-0.79533,2.93015,4.37789
-0.527227,2.931773,4.393823
-0.262698,2.932641,4.403189
0,2.932816,4.406254
0.259194,3.270969,4.493113
0.512324,3.622463,4.587132
0.76087,3.990057,4.690787
0.796851,4.420374,4.836733
-1.673245,3.308348,4.386329
-1.33521,3.264479,4.417626
-1.05693,3.267572,4.447135
-0.785834,3.269476,4.469109
-0.52049,3.270502,4.484254
-0.259194,3.270969,4.493113
0,3.271006,4.496001
0.254896,3.622345,4.59529
0.502197,3.988952,4.703331
-1.372022,3.667445,4.53372
-1.043276,3.621466,4.5525
-0.774512,3.622295,4.573077
-0.512324,3.622463,4.587132
-0.254896,3.622345,4.59529
0,3.622175,4.597932
0.249456,3.987976,4.71051
0.489031,4.371325,4.833658
0.522777,4.815567,4.993871
-1.07991,4.037908,4.683605
-0.76087,3.990057,4.690787
-0.502197,3.988952,4.703331
-0.249456,3.987976,4.71051
0,3.987483,4.712806
0.242079,4.368983,4.839436
-0.796851,4.420374,4.836733
-0.489031,4.371325,4.833658
-0.242079,4.368983,4.839436
0,4.367915,4.841206
0.230612,4.766413,4.982466
0.25748,5.224305,5.155779
-0.522777,4.815567,4.993871
-0.230612,4.766413,4.982466
0,4.763773,4.983201
-0.25748,5.224305,5.155779
0,5.171863,5.136969
0,5.64774,5.323279
